               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.039823,            0.025104,           0.0062588,             0.49394,             0.44683,              0.4255,             0.21664,             0.05214,            0.018032,            0.024859,           0.0079012,           0.0079012,           0.0079012
                 108,            0.040279,            0.025559,           0.0060847,             0.52936,             0.44728,             0.44245,             0.22258,            0.052601,             0.01762,            0.022467,           0.0078814,           0.0078814,           0.0078814
                 109,            0.039607,             0.02471,            0.006519,             0.48855,             0.46556,              0.4373,             0.22723,            0.052996,            0.017252,             0.02786,           0.0078616,           0.0078616,           0.0078616
                 110,            0.039451,            0.025903,            0.005891,             0.56929,             0.42189,             0.44084,             0.23107,            0.052818,            0.017572,            0.028616,           0.0078418,           0.0078418,           0.0078418
                 111,            0.039174,            0.025099,            0.006305,             0.47622,             0.43503,              0.3971,             0.19936,            0.053572,            0.017773,            0.027309,            0.007822,            0.007822,            0.007822
                 112,            0.040326,            0.026082,            0.006445,             0.44075,             0.45664,             0.40167,             0.20579,            0.053278,            0.017985,            0.031443,           0.0078022,           0.0078022,           0.0078022
                 113,            0.038583,             0.02551,           0.0063676,             0.50945,             0.41486,             0.41746,             0.21457,            0.053003,            0.017809,             0.02584,           0.0077824,           0.0077824,           0.0077824
                 114,            0.040902,            0.025482,           0.0069863,             0.53227,             0.44199,             0.42245,             0.21733,            0.053789,            0.017748,            0.029962,           0.0077626,           0.0077626,           0.0077626
                 115,            0.040137,            0.024971,           0.0063795,             0.52301,             0.46728,             0.43941,             0.22622,            0.055001,            0.018139,            0.027344,           0.0077428,           0.0077428,           0.0077428
                 116,            0.039174,            0.025817,           0.0062342,             0.51177,             0.47332,             0.43319,             0.22026,            0.054719,            0.017749,            0.027209,            0.007723,            0.007723,            0.007723
                 117,            0.039816,            0.026595,            0.006265,             0.53993,             0.46059,             0.41305,              0.2107,             0.05284,             0.01788,             0.03053,           0.0077032,           0.0077032,           0.0077032
                 118,            0.039003,             0.02566,           0.0067782,             0.51261,             0.46499,             0.43457,             0.22531,            0.053144,            0.018031,            0.028496,           0.0076834,           0.0076834,           0.0076834
